Economic_Freedom_Indicator,Outcome_Variable,Lag_Years,Correlation,P_Value,Sample_Size,CI_Lower,CI_Upper,Strength,Significance
Overall Score,HDI,5,0.5325,0.0,1105,0.4888,0.5734,Strong,Significant
Government Spending,Extreme_Poverty_Share,-16,0.5324,0.0,351,0.4529,0.6034,Strong,Significant
Overall Score,Life_Expectancy,12,0.5318,0.0,647,0.4741,0.5849,Strong,Significant
Business Freedom,Life_Expectancy,-7,0.5318,0.0,964,0.4849,0.5756,Strong,Significant
Government Integrity,Gini_Index,-12,-0.5312,0.0,661,-0.5838,-0.4741,Strong,Significant
Tax Burden,HDI,-4,-0.531,0.0,1184,-0.5707,-0.4888,Strong,Significant
Property Rights,Gini_Index,-11,-0.5309,0.0,722,-0.5813,-0.4764,Strong,Significant
Overall Score,Life_Expectancy,-10,0.5306,0.0,771,0.4779,0.5795,Strong,Significant
Trade Freedom,Extreme_Poverty_Share,-1,-0.5304,0.0,1424,-0.5667,-0.492,Strong,Significant
Trade Freedom,Gini_Index,-11,-0.53,0.0,722,-0.5805,-0.4754,Strong,Significant
Trade Freedom,HDI,-9,0.5299,0.0,822,0.4789,0.5774,Strong,Significant
Government Spending,Gini_Index,0,0.5298,0.0,1709,0.4948,0.5631,Strong,Significant
Government Integrity,Extreme_Poverty_Share,-7,-0.5296,0.0,864,-0.576,-0.4799,Strong,Significant
Business Freedom,Gini_Index,-14,-0.5294,0.0,545,-0.5872,-0.4661,Strong,Significant
Overall Score,Life_Expectancy,-11,0.528,0.0,709,0.4727,0.5791,Strong,Significant
Tax Burden,HDI,5,-0.527,0.0,1105,-0.5683,-0.4831,Strong,Significant
Business Freedom,Extreme_Poverty_Share,-19,-0.5253,0.0,210,-0.6169,-0.4198,Strong,Significant
Business Freedom,Gini_Index,-19,-0.5249,0.0,277,-0.6053,-0.4339,Strong,Significant
Business Freedom,Life_Expectancy,-18,0.5249,0.0,322,0.4409,0.5998,Strong,Significant
Investment Freedom,Extreme_Poverty_Share,-17,-0.5247,0.0,301,-0.602,-0.4376,Strong,Significant
Investment Freedom,Extreme_Poverty_Share,-16,-0.5243,0.0,351,-0.5963,-0.444,Strong,Significant
Trade Freedom,HDI,11,0.524,0.0,707,0.4684,0.5755,Strong,Significant
Investment Freedom,Life_Expectancy,-23,0.5237,0.0,104,0.3682,0.6506,Strong,Significant
Overall Score,Gini_Index,-17,-0.5236,0.0,379,-0.593,-0.4464,Strong,Significant
Overall Score,Life_Expectancy,-12,0.5235,0.0,649,0.4653,0.5772,Strong,Significant
Business Freedom,Life_Expectancy,-19,0.5234,0.0,272,0.4313,0.6047,Strong,Significant
Investment Freedom,Extreme_Poverty_Share,-15,-0.5229,0.0,402,-0.5905,-0.448,Strong,Significant
Judicial Effectiveness,Extreme_Poverty_Share,-22,-0.5228,0.0,107,-0.6483,-0.3696,Strong,Significant
Trade Freedom,Life_Expectancy,5,0.5228,0.0,1109,0.4786,0.5643,Strong,Significant
Tax Burden,Life_Expectancy,5,-0.5221,0.0,1109,-0.5636,-0.4779,Strong,Significant
Business Freedom,Life_Expectancy,-8,0.5221,0.0,898,0.4728,0.5681,Strong,Significant
Tax Burden,Extreme_Poverty_Share,-22,0.5219,0.0,107,0.3686,0.6476,Strong,Significant
Government Spending,Life_Expectancy,-2,-0.5219,0.0,1423,-0.5587,-0.483,Strong,Significant
Business Freedom,Gini_Index,-13,-0.5204,0.0,602,-0.5764,-0.4596,Strong,Significant
Tax Burden,Extreme_Poverty_Share,-17,0.5203,0.0,301,0.4328,0.5982,Strong,Significant
Investment Freedom,Life_Expectancy,-3,0.5201,0.0,1308,0.4795,0.5586,Strong,Significant
Government Integrity,Gini_Index,-11,-0.5197,0.0,722,-0.571,-0.4643,Strong,Significant
Overall Score,HDI,6,0.5196,0.0,1028,0.4735,0.5629,Strong,Significant
Business Freedom,Life_Expectancy,-10,0.5194,0.0,771,0.4659,0.5691,Strong,Significant
Tax Burden,Gini_Index,16,0.5193,0.0,433,0.447,0.5849,Strong,Significant
Judicial Effectiveness,Gini_Index,-11,-0.5191,0.0,334,-0.5934,-0.4361,Strong,Significant
Government Spending,Gini_Index,-20,0.5188,0.0,229,0.4172,0.6076,Strong,Significant
Trade Freedom,Extreme_Poverty_Share,-2,-0.5185,0.0,1308,-0.5571,-0.4777,Strong,Significant
Government Spending,Life_Expectancy,-1,-0.5183,0.0,1547,-0.5539,-0.4809,Strong,Significant
Investment Freedom,Extreme_Poverty_Share,-14,-0.5181,0.0,454,-0.5824,-0.4474,Strong,Significant
Property Rights,Gini_Index,-10,-0.5179,0.0,785,-0.5673,-0.4647,Strong,Significant
Business Freedom,Life_Expectancy,-9,0.5178,0.0,834,0.4663,0.5658,Strong,Significant
Overall Score,HDI,7,0.5177,0.0,961,0.4699,0.5626,Strong,Significant
Overall Score,HDI,8,0.5171,0.0,896,0.4674,0.5635,Strong,Significant
Trade Freedom,HDI,12,0.5171,0.0,647,0.4583,0.5714,Strong,Significant
Business Freedom,Gini_Index,-20,-0.517,0.0,229,-0.606,-0.4151,Strong,Significant
Business Freedom,Life_Expectancy,-17,0.517,0.0,372,0.4384,0.5878,Strong,Significant
Trade Freedom,Gini_Index,-6,-0.5166,0.0,1050,-0.5596,-0.4708,Strong,Significant
Government Spending,Extreme_Poverty_Share,-15,0.5158,0.0,402,0.4402,0.5842,Strong,Significant
Government Spending,Life_Expectancy,1,-0.5158,0.0,1545,-0.5515,-0.4782,Strong,Significant
Overall Score,Life_Expectancy,-13,0.5158,0.0,591,0.454,0.5726,Strong,Significant
Trade Freedom,Gini_Index,-9,-0.5156,0.0,849,-0.5633,-0.4644,Strong,Significant
Business Freedom,Life_Expectancy,-11,0.5151,0.0,709,0.4589,0.5672,Strong,Significant
Trade Freedom,HDI,14,0.515,0.0,533,0.4497,0.5748,Strong,Significant
Trade Freedom,Gini_Index,-10,-0.5148,0.0,785,-0.5644,-0.4614,Strong,Significant
Trade Freedom,Gini_Index,-5,-0.5145,0.0,1130,-0.5561,-0.4703,Strong,Significant
Business Freedom,Life_Expectancy,-20,0.5142,0.0,225,0.4111,0.6044,Strong,Significant
Business Freedom,Gini_Index,-12,-0.514,0.0,661,-0.568,-0.4556,Strong,Significant
Trade Freedom,HDI,13,0.5138,0.0,589,0.4517,0.5709,Strong,Significant
Trade Freedom,Extreme_Poverty_Share,-3,-0.5138,0.0,1198,-0.5543,-0.4709,Strong,Significant
Tax Burden,Life_Expectancy,-4,-0.5136,0.0,1204,-0.554,-0.4708,Strong,Significant
Tax Burden,Life_Expectancy,24,-0.5135,0.0,66,-0.672,-0.31,Strong,Significant
Overall Score,Life_Expectancy,13,0.5134,0.0,589,0.4513,0.5705,Strong,Significant
Government Integrity,Extreme_Poverty_Share,-6,-0.5126,0.0,930,-0.5585,-0.4636,Strong,Significant
Business Freedom,Extreme_Poverty_Share,-16,-0.5124,0.0,351,-0.5856,-0.4308,Strong,Significant
Business Freedom,Life_Expectancy,-14,0.5118,0.0,535,0.4464,0.5717,Strong,Significant
Business Freedom,Life_Expectancy,-16,0.5118,0.0,425,0.4381,0.5788,Strong,Significant
Business Freedom,Life_Expectancy,-12,0.5113,0.0,649,0.4521,0.5659,Strong,Significant
Investment Freedom,Life_Expectancy,-2,0.511,0.0,1423,0.4715,0.5484,Strong,Significant
Business Freedom,Foreign_Aid_Given,-17,0.5106,0.0,150,0.3816,0.6201,Strong,Significant
Trade Freedom,HDI,15,0.5099,0.0,477,0.4403,0.5735,Strong,Significant
Overall Score,Life_Expectancy,-14,0.5099,0.0,535,0.4443,0.57,Strong,Significant
Fiscal Health,Gini_Index,-22,-0.5098,0.0,142,-0.6223,-0.3767,Strong,Significant
Business Freedom,Life_Expectancy,-15,0.5095,0.0,479,0.44,0.573,Strong,Significant
Business Freedom,Life_Expectancy,-13,0.5094,0.0,591,0.4472,0.5668,Strong,Significant
Overall Score,HDI,9,0.5093,0.0,832,0.4572,0.558,Strong,Significant
Trade Freedom,HDI,-10,0.5093,0.0,759,0.4546,0.5601,Strong,Significant
Trade Freedom,Gini_Index,-7,-0.5092,0.0,981,-0.5541,-0.4613,Strong,Significant
Investment Freedom,Extreme_Poverty_Share,-13,-0.5091,0.0,507,-0.5709,-0.4416,Strong,Significant
Government Spending,Gini_Index,-22,0.5089,0.0,142,0.3757,0.6216,Strong,Significant
Government Spending,Gini_Index,-23,0.5088,0.0,105,0.3514,0.6383,Strong,Significant
Business Freedom,Life_Expectancy,-23,0.5088,0.0,104,0.3506,0.6388,Strong,Significant
Investment Freedom,HDI,-3,0.5087,0.0,1286,0.467,0.5481,Strong,Significant
Business Freedom,Life_Expectancy,-22,0.5083,0.0,140,0.374,0.6218,Strong,Significant
Investment Freedom,Extreme_Poverty_Share,-12,-0.5078,0.0,561,-0.5667,-0.4436,Strong,Significant
Government Spending,Gini_Index,-21,0.5078,0.0,183,0.3916,0.6081,Strong,Significant
Government Integrity,Gini_Index,-10,-0.5074,0.0,785,-0.5576,-0.4536,Strong,Significant
Investment Freedom,HDI,-2,0.5071,0.0,1400,0.4671,0.545,Strong,Significant
Government Integrity,Extreme_Poverty_Share,23,-0.507,0.0,69,-0.664,-0.3072,Strong,Significant
Property Rights,Gini_Index,-9,-0.5067,0.0,849,-0.5551,-0.455,Strong,Significant
Trade Freedom,Gini_Index,-8,-0.5064,0.0,914,-0.5531,-0.4565,Strong,Significant
Investment Freedom,Life_Expectancy,-1,0.506,0.0,1547,0.4679,0.5421,Strong,Significant
Investment Freedom,HDI,-1,0.5056,0.0,1522,0.4673,0.5421,Strong,Significant
Trade Freedom,HDI,16,0.5056,0.0,423,0.431,0.5733,Strong,Significant
Trade Freedom,Life_Expectancy,-5,0.5054,0.0,1111,0.4603,0.5479,Strong,Significant
Investment Freedom,Foreign_Aid_Given,-21,-0.505,0.0001,57,-0.6765,-0.2814,Strong,Significant
Investment Freedom,HDI,0,0.5042,0.0,1652,0.4673,0.5393,Strong,Significant
Tax Burden,Gini_Index,15,0.5042,0.0,488,0.4349,0.5676,Strong,Significant
Business Freedom,Foreign_Aid_Given,-18,0.5036,0.0,123,0.3586,0.625,Strong,Significant
Overall Score,Life_Expectancy,-15,0.5036,0.0,479,0.4336,0.5676,Strong,Significant
Business Freedom,Life_Expectancy,-21,0.5036,0.0,180,0.3858,0.6053,Strong,Significant
Government Integrity,Foreign_Aid_Given,21,0.503,0.0,84,0.3234,0.6475,Strong,Significant
Trade Freedom,HDI,17,0.5028,0.0,370,0.4225,0.5752,Strong,Significant
Tax Burden,Extreme_Poverty_Share,-16,0.5027,0.0,351,0.4201,0.577,Strong,Significant
Overall Score,HDI,10,0.5021,0.0,769,0.4473,0.5532,Strong,Significant
Government Integrity,Foreign_Aid_Given,22,0.502,0.0,63,0.2904,0.6669,Strong,Significant
Government Spending,Extreme_Poverty_Share,-8,0.5016,0.0,799,0.4478,0.5518,Strong,Significant
Business Freedom,Gini_Index,-11,-0.5015,0.0,722,-0.5542,-0.4449,Strong,Significant
Trade Freedom,Life_Expectancy,6,0.5011,0.0,1030,0.4539,0.5455,Strong,Significant
Government Spending,Extreme_Poverty_Share,-14,0.5007,0.0,454,0.4284,0.5666,Strong,Significant
Investment Freedom,Extreme_Poverty_Share,-11,-0.5005,0.0,616,-0.5574,-0.4388,Strong,Significant
Government Spending,Extreme_Poverty_Share,-9,0.4998,0.0,737,0.4435,0.552,Moderate,Significant
Investment Freedom,Life_Expectancy,0,0.4995,0.0,1679,0.4628,0.5346,Moderate,Significant
Investment Freedom,Life_Expectancy,2,0.499,0.0,1421,0.4589,0.5371,Moderate,Significant
Government Integrity,Gini_Index,-9,-0.4988,0.0,849,-0.5477,-0.4465,Moderate,Significant
Investment Freedom,HDI,1,0.4986,0.0,1528,0.4599,0.5353,Moderate,Significant
Financial Freedom,HDI,0,0.4983,0.0,1652,0.4611,0.5337,Moderate,Significant
Overall Score,Life_Expectancy,14,0.4977,0.0,533,0.431,0.559,Moderate,Significant
Overall Score,Gini_Index,-16,-0.4975,0.0,433,-0.5652,-0.4231,Moderate,Significant
Overall Score,Extreme_Poverty_Share,-17,-0.4973,0.0,301,-0.5779,-0.4072,Moderate,Significant
Business Freedom,Foreign_Aid_Given,-16,0.4973,0.0,177,0.3775,0.6007,Moderate,Significant
Overall Score,Life_Expectancy,-16,0.4972,0.0,425,0.422,0.5655,Moderate,Significant
Trade Freedom,Extreme_Poverty_Share,4,-0.497,0.0,1089,-0.5404,-0.4509,Moderate,Significant
Investment Freedom,Life_Expectancy,1,0.4967,0.0,1545,0.4582,0.5334,Moderate,Significant
Business Freedom,Gini_Index,-23,-0.4964,0.0,105,-0.6283,-0.3367,Moderate,Significant
Business Freedom,Extreme_Poverty_Share,22,-0.4959,0.0,102,-0.6297,-0.3337,Moderate,Significant
Trade Freedom,Gini_Index,-4,-0.4954,0.0,1224,-0.5365,-0.4519,Moderate,Significant
Fiscal Health,Gini_Index,-21,-0.495,0.0,179,-0.5983,-0.3756,Moderate,Significant
Investment Freedom,HDI,2,0.4949,0.0,1409,0.4544,0.5333,Moderate,Significant
Financial Freedom,HDI,-1,0.4947,0.0,1522,0.4558,0.5317,Moderate,Significant
Overall Score,HDI,11,0.4945,0.0,707,0.4367,0.5483,Moderate,Significant
Business Freedom,Gini_Index,-21,-0.4942,0.0,183,-0.5965,-0.3761,Moderate,Significant
Overall Score,Life_Expectancy,-17,0.494,0.0,372,0.413,0.5672,Moderate,Significant
Investment Freedom,Life_Expectancy,3,0.4937,0.0,1306,0.4516,0.5337,Moderate,Significant
Fiscal Health,Gini_Index,-20,-0.4936,0.0,211,-0.5894,-0.3842,Moderate,Significant
Property Rights,Gini_Index,-8,-0.4935,0.0,914,-0.541,-0.4428,Moderate,Significant
Government Spending,Life_Expectancy,0,-0.4934,0.0,1679,-0.5288,-0.4564,Moderate,Significant
Trade Freedom,HDI,-11,0.4931,0.0,697,0.4348,0.5473,Moderate,Significant
Government Spending,Extreme_Poverty_Share,-10,0.4927,0.0,676,0.4334,0.5478,Moderate,Significant
Overall Score,Extreme_Poverty_Share,-18,-0.4923,0.0,255,-0.58,-0.3932,Moderate,Significant
Business Freedom,Extreme_Poverty_Share,-1,-0.4921,0.0,1424,-0.5305,-0.4517,Moderate,Significant
Government Spending,Extreme_Poverty_Share,23,0.4919,0.0,69,0.2888,0.6526,Moderate,Significant
Investment Freedom,Extreme_Poverty_Share,-10,-0.4919,0.0,676,-0.547,-0.4326,Moderate,Significant
Business Freedom,Gini_Index,-24,-0.4919,0.0,68,-0.6537,-0.2872,Moderate,Significant
Government Integrity,Gini_Index,-8,-0.4905,0.0,914,-0.5383,-0.4397,Moderate,Significant
Overall Score,Life_Expectancy,-18,0.4899,0.0,322,0.4021,0.5687,Moderate,Significant
Business Freedom,Gini_Index,-10,-0.4897,0.0,785,-0.5412,-0.4346,Moderate,Significant
Trade Freedom,Extreme_Poverty_Share,-4,-0.4893,0.0,1097,-0.533,-0.4429,Moderate,Significant
Government Spending,Extreme_Poverty_Share,-13,0.4886,0.0,507,0.4194,0.5522,Moderate,Significant
Investment Freedom,Life_Expectancy,-24,0.4886,0.0,68,0.2832,0.6512,Moderate,Significant
Government Spending,Extreme_Poverty_Share,-7,0.4883,0.0,864,0.4358,0.5375,Moderate,Significant
Trade Freedom,Life_Expectancy,7,0.4882,0.0,962,0.4385,0.5349,Moderate,Significant
Tax Burden,Gini_Index,14,0.4876,0.0,545,0.4208,0.5491,Moderate,Significant
Business Freedom,Gini_Index,-22,-0.4875,0.0,142,-0.6038,-0.351,Moderate,Significant
Government Integrity,Gini_Index,-7,-0.4869,0.0,981,-0.5332,-0.4377,Moderate,Significant
Business Freedom,Extreme_Poverty_Share,0,-0.4867,0.0,1505,-0.5243,-0.4472,Moderate,Significant
Property Rights,Extreme_Poverty_Share,-5,-0.4864,0.0,1006,-0.5322,-0.4377,Moderate,Significant
Investment Freedom,Extreme_Poverty_Share,-9,-0.4864,0.0,737,-0.5396,-0.4292,Moderate,Significant
Financial Freedom,HDI,-24,0.4863,0.0001,63,0.2712,0.6551,Moderate,Significant
Business Freedom,Foreign_Aid_Given,-19,0.4861,0.0,99,0.3193,0.6236,Moderate,Significant
Overall Score,Extreme_Poverty_Share,-16,-0.4855,0.0,351,-0.5617,-0.4013,Moderate,Significant
Tax Burden,Extreme_Poverty_Share,-23,0.4845,0.0,80,0.2964,0.6365,Moderate,Significant
Overall Score,Extreme_Poverty_Share,-19,-0.484,0.0,210,-0.5813,-0.3731,Moderate,Significant
Government Integrity,Gini_Index,-6,-0.484,0.0,1050,-0.529,-0.4363,Moderate,Significant
Investment Freedom,Life_Expectancy,4,0.4831,0.0,1202,0.4386,0.5253,Moderate,Significant
Overall Score,Life_Expectancy,15,0.483,0.0,477,0.4111,0.549,Moderate,Significant
Trade Freedom,HDI,-12,0.483,0.0,637,0.4211,0.5404,Moderate,Significant
Government Spending,Extreme_Poverty_Share,-12,0.4826,0.0,561,0.4164,0.5436,Moderate,Significant
Government Spending,Gini_Index,-24,0.4823,0.0,68,0.2756,0.6464,Moderate,Significant
Government Spending,Extreme_Poverty_Share,-11,0.4821,0.0,616,0.419,0.5405,Moderate,Significant
Fiscal Health,Gini_Index,-19,-0.4821,0.0,237,-0.5742,-0.3779,Moderate,Significant
Business Freedom,Extreme_Poverty_Share,-15,-0.4819,0.0,402,-0.5536,-0.403,Moderate,Significant
Judicial Effectiveness,Gini_Index,-10,-0.4815,0.0,341,-0.5591,-0.3955,Moderate,Significant
Overall Score,HDI,12,0.4812,0.0,647,0.4197,0.5383,Moderate,Significant
Investment Freedom,Extreme_Poverty_Share,-8,-0.4812,0.0,799,-0.5328,-0.4261,Moderate,Significant
Financial Freedom,HDI,1,0.4811,0.0,1528,0.4416,0.5187,Moderate,Significant
Property Rights,Gini_Index,-7,-0.4811,0.0,981,-0.5278,-0.4315,Moderate,Significant
Financial Freedom,HDI,-2,0.48,0.0,1400,0.4387,0.5194,Moderate,Significant
Business Freedom,Foreign_Aid_Given,-21,0.4795,0.0002,57,0.2502,0.6579,Moderate,Significant
Investment Freedom,HDI,3,0.4794,0.0,1297,0.4363,0.5203,Moderate,Significant
Trade Freedom,HDI,18,0.479,0.0,320,0.3898,0.5592,Moderate,Significant
Overall Score,Life_Expectancy,-19,0.4786,0.0,272,0.3814,0.5654,Moderate,Significant
Business Freedom,Extreme_Poverty_Share,-2,-0.4786,0.0,1308,-0.5194,-0.4357,Moderate,Significant
Overall Score,Life_Expectancy,-21,0.4783,0.0,180,0.357,0.5838,Moderate,Significant
Government Spending,Extreme_Poverty_Share,8,0.4779,0.0,821,0.4234,0.5291,Moderate,Significant
Overall Score,Gini_Index,-15,-0.4778,0.0,488,-0.5436,-0.4063,Moderate,Significant
Government Integrity,Foreign_Aid_Given,20,0.4776,0.0,110,0.3189,0.6103,Moderate,Significant
Government Spending,Extreme_Poverty_Share,22,0.4772,0.0,102,0.3117,0.6146,Moderate,Significant
Tax Burden,HDI,-3,-0.4772,0.0,1286,-0.5184,-0.4339,Moderate,Significant
Tax Burden,Gini_Index,13,0.477,0.0,602,0.4129,0.5365,Moderate,Significant
Trade Freedom,Life_Expectancy,-6,0.4769,0.0,1032,0.4284,0.5227,Moderate,Significant
Overall Score,Life_Expectancy,-20,0.476,0.0,225,0.3681,0.5712,Moderate,Significant
Trade Freedom,HDI,-13,0.4758,0.0,579,0.4102,0.5365,Moderate,Significant
Government Integrity,Gini_Index,-5,-0.4755,0.0,1130,-0.5194,-0.429,Moderate,Significant
Government Spending,Extreme_Poverty_Share,21,0.4755,0.0,139,0.3356,0.5949,Moderate,Significant
Tax Burden,Extreme_Poverty_Share,-15,0.4752,0.0,402,0.3958,0.5476,Moderate,Significant
Business Freedom,Extreme_Poverty_Share,-10,-0.4751,0.0,676,-0.5315,-0.4146,Moderate,Significant
Business Freedom,Gini_Index,-9,-0.475,0.0,849,-0.5255,-0.4212,Moderate,Significant
Government Integrity,Extreme_Poverty_Share,11,-0.4747,0.0,642,-0.5325,-0.4125,Moderate,Significant
Business Freedom,Extreme_Poverty_Share,-11,-0.4746,0.0,616,-0.5336,-0.411,Moderate,Significant
Business Freedom,Extreme_Poverty_Share,-9,-0.4745,0.0,737,-0.5286,-0.4165,Moderate,Significant
Business Freedom,Foreign_Aid_Given,-15,0.4736,0.0,205,0.3599,0.5734,Moderate,Significant
Overall Score,Extreme_Poverty_Share,-15,-0.4731,0.0,402,-0.5457,-0.3935,Moderate,Significant
Property Rights,Gini_Index,-6,-0.4729,0.0,1050,-0.5186,-0.4246,Moderate,Significant
Investment Freedom,Life_Expectancy,5,0.4728,0.0,1109,0.4257,0.5172,Moderate,Significant
Trade Freedom,Extreme_Poverty_Share,-7,-0.4728,0.0,864,-0.523,-0.4194,Moderate,Significant
Investment Freedom,Life_Expectancy,6,0.4726,0.0,1030,0.4237,0.5187,Moderate,Significant
Government Spending,Extreme_Poverty_Share,-6,0.4725,0.0,930,0.4211,0.521,Moderate,Significant
Business Freedom,Extreme_Poverty_Share,-12,-0.4724,0.0,561,-0.5343,-0.4055,Moderate,Significant
Government Spending,Extreme_Poverty_Share,9,0.4722,0.0,761,0.415,0.5256,Moderate,Significant
Business Freedom,Extreme_Poverty_Share,-7,-0.4721,0.0,864,-0.5224,-0.4186,Moderate,Significant
Government Integrity,Extreme_Poverty_Share,10,-0.472,0.0,702,-0.5275,-0.4124,Moderate,Significant
Trade Freedom,Life_Expectancy,8,0.4717,0.0,896,0.4192,0.5211,Moderate,Significant
Business Freedom,Extreme_Poverty_Share,-8,-0.4717,0.0,799,-0.5239,-0.416,Moderate,Significant
Government Integrity,Extreme_Poverty_Share,12,-0.4713,0.0,584,-0.5321,-0.4056,Moderate,Significant
Government Integrity,Extreme_Poverty_Share,-5,-0.4701,0.0,1006,-0.5169,-0.4205,Moderate,Significant
Trade Freedom,Extreme_Poverty_Share,-6,-0.47,0.0,930,-0.5186,-0.4184,Moderate,Significant
Business Freedom,Foreign_Aid_Given,-20,0.47,0.0,77,0.2749,0.6278,Moderate,Significant
Business Freedom,Extreme_Poverty_Share,-14,-0.4699,0.0,454,-0.5387,-0.395,Moderate,Significant
Business Freedom,Extreme_Poverty_Share,-20,-0.4698,0.0,174,-0.5781,-0.3451,Moderate,Significant
Government Spending,Extreme_Poverty_Share,10,0.4697,0.0,702,0.41,0.5254,Moderate,Significant
Overall Score,Life_Expectancy,-22,0.4691,0.0,140,0.3287,0.5891,Moderate,Significant
Financial Freedom,HDI,-23,0.4691,0.0,98,0.2984,0.6107,Moderate,Significant
Trade Freedom,Extreme_Poverty_Share,-5,-0.4685,0.0,1006,-0.5154,-0.4189,Moderate,Significant
Investment Freedom,Life_Expectancy,7,0.4677,0.0,962,0.4169,0.5157,Moderate,Significant
Investment Freedom,Life_Expectancy,8,0.4675,0.0,896,0.4147,0.5171,Moderate,Significant
Government Spending,Extreme_Poverty_Share,17,0.4675,0.0,317,0.3767,0.5494,Moderate,Significant
Tax Burden,Life_Expectancy,4,-0.4673,0.0,1202,-0.5104,-0.4219,Moderate,Significant
Overall Score,Life_Expectancy,16,0.4672,0.0,423,0.3892,0.5386,Moderate,Significant
Tax Burden,Gini_Index,12,0.4671,0.0,661,0.4053,0.5247,Moderate,Significant
Business Freedom,Extreme_Poverty_Share,-13,-0.4669,0.0,507,-0.5323,-0.3959,Moderate,Significant
Trade Freedom,Extreme_Poverty_Share,-8,-0.4666,0.0,799,-0.5192,-0.4106,Moderate,Significant
Government Spending,Extreme_Poverty_Share,20,0.4665,0.0,179,0.3434,0.5739,Moderate,Significant
Investment Freedom,HDI,4,0.4663,0.0,1196,0.4208,0.5095,Moderate,Significant
Government Spending,Extreme_Poverty_Share,11,0.4663,0.0,642,0.4035,0.5247,Moderate,Significant
Government Integrity,Extreme_Poverty_Share,13,-0.4662,0.0,528,-0.5305,-0.3967,Moderate,Significant
Government Integrity,Extreme_Poverty_Share,9,-0.4661,0.0,761,-0.5199,-0.4086,Moderate,Significant
Business Freedom,Extreme_Poverty_Share,-6,-0.466,0.0,930,-0.5149,-0.4141,Moderate,Significant
Tax Burden,HDI,4,-0.4659,0.0,1196,-0.5092,-0.4204,Moderate,Significant
Trade Freedom,Life_Expectancy,-7,0.4657,0.0,964,0.4148,0.5137,Moderate,Significant
Financial Freedom,Inflation_Rate,-20,-0.4654,0.0,217,-0.5637,-0.3542,Moderate,Significant
Trade Freedom,HDI,-14,0.4653,0.0,523,0.3954,0.5299,Moderate,Significant
Government Integrity,Extreme_Poverty_Share,8,-0.4652,0.0,821,-0.5171,-0.4098,Moderate,Significant
Government Integrity,Foreign_Aid_Given,19,0.4648,0.0,138,0.3227,0.5863,Moderate,Significant
Government Integrity,Gini_Index,-4,-0.4646,0.0,1224,-0.5074,-0.4195,Moderate,Significant
Trade Freedom,Gini_Index,-3,-0.4645,0.0,1329,-0.5056,-0.4212,Moderate,Significant
Overall Score,HDI,13,0.4641,0.0,589,0.3982,0.5252,Moderate,Significant
Business Freedom,Extreme_Poverty_Share,-3,-0.4635,0.0,1198,-0.5069,-0.4179,Moderate,Significant
Government Spending,Extreme_Poverty_Share,12,0.4627,0.0,584,0.3964,0.5241,Moderate,Significant
Fiscal Health,Gini_Index,-18,-0.4626,0.0,262,-0.5528,-0.3617,Moderate,Significant
Property Rights,Gini_Index,-5,-0.4624,0.0,1130,-0.507,-0.4152,Moderate,Significant
Government Spending,Extreme_Poverty_Share,13,0.4617,0.0,528,0.3918,0.5263,Moderate,Significant
Tax Burden,Life_Expectancy,-3,-0.4617,0.0,1308,-0.5033,-0.4179,Moderate,Significant
Overall Score,Extreme_Poverty_Share,-14,-0.4613,0.0,454,-0.5308,-0.3856,Moderate,Significant
Business Freedom,Gini_Index,-8,-0.4612,0.0,914,-0.5108,-0.4086,Moderate,Significant
Financial Freedom,HDI,2,0.4608,0.0,1409,0.4187,0.501,Moderate,Significant
Government Spending,Extreme_Poverty_Share,18,0.4607,0.0,268,0.3608,0.5502,Moderate,Significant
Financial Freedom,Life_Expectancy,0,0.4606,0.0,1679,0.422,0.4974,Moderate,Significant
Judicial Effectiveness,Gini_Index,4,-0.4602,0.0,108,-0.5972,-0.297,Moderate,Significant
Financial Freedom,HDI,-22,0.4598,0.0,133,0.3142,0.5843,Moderate,Significant
Government Integrity,Extreme_Poverty_Share,22,-0.4595,0.0,102,-0.6003,-0.291,Moderate,Significant
Trade Freedom,HDI,19,0.4594,0.0,270,0.3598,0.5487,Moderate,Significant
Business Freedom,Extreme_Poverty_Share,21,-0.4592,0.0,139,-0.5813,-0.317,Moderate,Significant
Investment Freedom,Extreme_Poverty_Share,-7,-0.4591,0.0,864,-0.5102,-0.4048,Moderate,Significant
Judicial Effectiveness,Gini_Index,5,-0.4588,0.0003,57,-0.6425,-0.2251,Moderate,Significant
Financial Freedom,Inflation_Rate,-21,-0.4588,0.0,173,-0.5691,-0.3324,Moderate,Significant
Judicial Effectiveness,Extreme_Poverty_Share,-14,-0.4586,0.0,280,-0.5464,-0.3607,Moderate,Significant
Fiscal Health,Gini_Index,-17,-0.4584,0.0,278,-0.5465,-0.3602,Moderate,Significant
Government Spending,Extreme_Poverty_Share,16,0.4581,0.0,368,0.3734,0.5353,Moderate,Significant
Government Spending,Extreme_Poverty_Share,19,0.458,0.0,222,0.3473,0.5562,Moderate,Significant
Investment Freedom,Life_Expectancy,9,0.4579,0.0,832,0.4024,0.51,Moderate,Significant
Trade Freedom,HDI,-24,0.4579,0.0002,63,0.237,0.6338,Moderate,Significant
Trade Freedom,HDI,-15,0.4577,0.0,467,0.3829,0.5266,Moderate,Significant
Overall Score,Gini_Index,-14,-0.4574,0.0,545,-0.5213,-0.3883,Moderate,Significant
